name;overlays_count;width;heigh;doors_count;poligons_count;actors_count;ambients_count;animations_count;automap_count;containers_count;doors_count;entrances_count;items_count;regions_count;spawn_points_count;tiled_object_count;tiled_object_flags_count;variables_count;verticles_count
AR1000;1;50;36;6;182;56;14;9;0;25;6;7;24;17;0;0;0;0;387
AR1001;1;22;17;0;76;17;1;0;0;10;0;1;18;9;0;0;0;0;228
AR1002;1;22;17;1;93;18;2;0;0;4;1;2;6;2;0;0;0;0;53
AR1003;1;16;9;1;34;5;3;0;0;0;0;1;0;3;0;0;0;0;23
AR1004;1;10;8;1;14;13;2;1;0;2;0;1;1;1;0;0;0;0;25
AR1005;1;10;8;0;14;3;1;1;0;1;0;1;3;1;0;0;0;0;12
AR1006;1;10;8;0;9;1;2;1;0;3;0;1;8;3;0;0;0;0;45
AR1007;1;46;18;0;60;61;4;20;0;0;0;1;0;3;0;0;0;0;156
AR1100;1;45;33;11;127;4;6;16;0;16;11;8;13;25;0;0;0;0;1758
AR1101;1;16;12;4;56;2;1;9;0;6;4;1;8;6;0;0;0;0;150
AR1102;1;15;12;0;52;3;2;0;0;0;0;1;0;5;0;0;0;0;47
AR1103;1;13;11;0;38;8;3;0;0;1;0;1;3;2;0;0;0;0;37
AR1104;1;14;12;2;42;4;3;1;0;1;2;2;2;6;0;0;0;0;78
AR1105;1;14;13;7;52;0;3;0;0;2;5;1;4;3;0;0;0;0;102
AR1106;1;13;9;0;20;1;2;1;0;2;0;1;3;3;0;0;0;0;50
AR1107;1;12;9;0;24;6;2;6;0;2;0;1;4;2;0;0;0;0;16
AR1200;1;60;45;7;250;109;7;4;0;14;7;3;14;30;0;0;0;0;743
AR1201;1;14;10;0;29;4;2;1;0;1;0;1;2;3;0;0;0;0;21
AR2000;1;52;45;6;144;189;6;0;0;4;6;2;8;6;0;0;0;0;387
AR2001;1;48;33;4;152;135;5;2;0;6;3;3;13;8;0;0;0;0;564
AR2002;1;60;45;0;87;45;4;20;0;5;0;1;9;5;0;0;0;0;45
AR2100;1;34;25;1;78;47;3;1;0;3;1;2;10;7;0;0;0;0;113
AR2101;1;41;27;5;39;70;4;0;0;2;5;2;7;8;0;0;0;0;263
AR2102;1;42;27;2;91;75;4;0;0;4;1;2;9;1;0;0;0;0;594
AR3000;1;60;45;5;305;113;12;0;0;6;5;3;28;13;0;0;0;0;168
AR3001;1;60;45;4;138;133;2;49;0;12;4;2;36;8;0;0;0;0;304
AR3002;1;60;45;7;334;141;4;45;0;13;7;2;47;11;0;0;0;0;307
AR3100;1;38;30;4;355;89;10;15;0;7;4;3;22;8;0;0;0;0;252
AR3101;1;40;27;9;346;41;3;0;0;20;9;1;43;11;0;0;0;0;478

AR4000;1;56;41;3;398;92;10;1;0;16;2;4;55;25;0;0;0;0;650
