id;name;ac;hp;bab;attacks;color_metal;color_minor;color_major;color_skin;color_leather;color_armor;color_hair;str;dex;con;int;wis;cha;race
00ARIF;Arif ab'd Bashshar;10;100;0;0;27;66;63;114;21;27;0;18;18;14;10;10;8;1
00BASHSH;Bashshar al Rachid;60;56;6;0;30;37;45;12;23;28;0;18;19;14;14;15;15;175
00BUG;Bugbear;13;40;0;0;30;37;39;12;23;28;0;15;12;13;10;10;9;180
00CHI;Chicken;10;4;0;1;30;37;57;12;23;28;0;5;8;7;3;3;7;255
00COW;Cow;10;8;0;1;30;37;57;12;23;28;0;7;7;7;3;3;7;255
00COWDED;Cow;10;8;0;1;30;37;57;12;23;28;0;7;7;7;3;3;7;255
00DOG;Dog;10;6;0;1;30;37;57;12;23;28;0;7;8;7;5;5;7;255
00DOGDED;Dog;10;6;0;1;30;37;57;12;23;28;0;7;8;7;5;5;7;255
00GOB;Goblin;14;6;0;0;30;37;51;12;23;28;0;9;9;9;7;7;7;155
00GOBAR;Goblin Archer;14;5;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
00GOBARE;Goblin Archer Elite;14;14;0;0;30;37;58;12;23;28;0;10;13;11;10;11;8;155
00GOBE;Goblin Elite;14;9;1;0;30;37;58;12;23;28;0;12;13;11;10;11;8;155
00HADYA;Hadya ab'd Bashshar;10;60;0;0;27;66;66;114;21;27;0;18;18;12;10;10;8;1
00HAGOB;Half-Goblin;13;21;3;1;0;91;29;20;22;21;7;14;16;16;12;12;10;155
00HOB;Hobgoblin;13;10;0;0;30;66;58;19;23;30;0;11;13;13;10;10;10;111
00HOBAR;Hobgoblin Archer;13;10;0;0;30;66;58;19;23;30;0;11;13;13;10;10;10;111
00HUMDED;Humanoid Remains;10;1;0;1;30;39;49;15;23;28;0;9;9;9;9;9;9;0
00JABIR;Jabir ab'd Bashshar;10;40;0;0;27;66;63;114;21;27;0;10;14;10;16;10;18;1
00NUR;Nur ab'd Bashshar;0;40;0;0;27;66;63;114;21;27;0;10;14;10;16;10;18;1
00OCHX;Ochre Jelly;9;60;3;1;30;37;51;12;23;28;0;15;3;15;10;3;3;119
00OGR;Ogre;17;29;0;0;30;47;41;10;23;30;0;21;8;15;6;10;7;113
00ORCAR;Orc Archer;14;18;0;0;30;37;48;12;23;28;0;12;14;11;9;8;8;160
00ORCARE;Orc Archer Elite;14;21;0;0;30;37;49;12;23;28;0;12;16;11;9;8;8;160
00OROBLA;Orog;16;21;2;0;30;37;59;12;23;28;0;18;10;12;9;9;9;160
00RAT;Rat;10;2;0;1;30;37;57;12;23;28;0;5;8;7;3;3;7;255
00ROGBAS;Rogue;0;60;0;0;27;47;66;114;21;27;0;10;18;13;10;10;14;1
00SABGD;Apocalyptic Boneguard;24;116;15;3;30;37;57;12;23;28;0;28;18;18;9;9;9;115
00SABISW;Lesser White Abishai;14;3;4;3;30;37;57;12;23;28;0;13;15;15;10;12;12;164
00SABOR;Arctic Boar;16;25;3;1;30;37;3;12;23;28;0;16;10;17;3;13;4;255
00SAIR04;Lesser Air Elemental;17;26;7;1;30;37;57;14;23;28;0;12;21;14;4;11;11;152
00SAIR12;Air Elemental;13;60;10;2;30;37;57;14;23;28;0;14;25;16;6;11;11;152
00SAIR16;Air Elemental;11;136;15;3;30;37;57;14;23;28;0;18;29;18;6;11;11;152
00SAIR20;Greater Air Elemental;16;178;19;3;30;37;57;14;23;28;0;20;31;18;6;11;11;152
00SAIR24;Elder Air Elemental;16;204;21;4;30;37;57;14;23;28;0;22;33;18;6;11;11;152
00SARSKL;Armored Skeleton;15;28;6;1;30;37;57;14;23;28;0;16;15;16;9;9;9;115
00SASERV;Aerial Servant;17;128;15;2;30;37;57;14;23;28;0;22;22;15;6;10;9;152
00SBBER;Black Bear;12;25;2;3;30;37;57;12;23;28;0;19;13;15;3;12;6;103
00SBEETL;Beetle;15;7;0;0;30;37;53;12;23;28;0;11;14;11;4;12;9;150
00SBGD;Boneguard Skeleton;16;36;8;2;30;37;57;14;23;28;0;14;17;18;9;9;9;115
00SBRSK1;Berserk Warrior;10;69;4;0;30;37;53;12;23;28;0;18;17;16;9;9;9;1
00SBRSK2;Berserk Warrior;10;69;4;0;30;37;53;12;23;28;0;18;17;16;9;9;9;1
00SBRSK3;Berserk Warrior;10;69;4;0;30;37;53;12;23;28;0;18;17;16;9;9;9;1
00SBRSKR;Berserk Warrior;10;48;4;0;30;37;53;12;23;28;0;16;16;16;9;9;9;1
00SBSC;Bone Scavenger;16;88;0;0;30;37;20;12;23;28;0;19;12;15;6;12;9;118
00SBTL11;Bombardier Beetle;16;24;1;1;30;37;57;14;23;28;0;15;18;15;3;3;3;150
00SBTL13;Boring Beetle;17;36;5;1;30;37;57;14;23;28;0;15;18;15;3;3;3;150
00SBTL15;Rhinoceros Beetle;18;84;8;2;30;37;57;14;23;28;0;15;18;16;3;3;3;150
00SBTL7;Fire Beetle;16;15;1;1;30;37;57;14;23;28;0;15;18;15;3;3;3;150
00SBTL9;Beetle;16;24;1;1;30;37;57;14;23;28;0;15;18;15;3;3;3;150
00SBWHT;Barrow Wight;22;100;15;2;30;37;57;12;23;28;0;16;25;18;9;9;9;115
00SCAT;Cat;12;4;4;3;30;33;58;9;22;64;75;10;17;11;10;12;7;255
00SCBER;Cave Bear;14;56;3;3;30;37;57;12;23;28;0;27;13;19;3;12;6;103
00SCBNS;Cold Bones;18;78;15;2;30;37;57;17;23;28;0;18;18;16;9;9;9;115
00SCCR;Carrion Crawler;17;19;5;5;30;37;57;14;23;28;0;14;15;14;3;15;3;151
00SCHZMB;Chosen Zombie;14;28;5;1;30;37;57;14;23;28;0;16;15;16;9;9;9;167
