ZBFF0: Женщина, Варвар
ZBTF0: Женщина, Бард
ZDFX0: Женщина, Темная эльфийка
DFFX: Женщина, Воин
HEFCX: Женщина, Жрица
HEFFX: Женщина, Полу-эльф, Вони
HAFFX: Женщина, Полурослик, Воин
HFFX: Женщина, Воин, 2
ZHOF0: Женщина, Полу-орк
ZHFM0: Женщина, Монах
HAFTX: Женщина, Мошенница
HFTX: Женщина, Мошенница 2
ZHFS0: Женщина, Ведьма
DFCX: Женщина, Волшебница
EFMX: Женщина, Волшебница 2
GFCX: Женщина, Волшебница 3
HEFMX: Женщина, Волшебница 4
HFMX: Женщина, Волшебница 5
HFONE0: Женщина, Приключенец
HFTW0: Женщина, Приключенец 2
HFTHR0: Женщина, Приключенец 3
HMONE0: Мужчина, Приключенец
HMTW0: Мужчина, Приключенец 2
HMTHR0: Мужчина, Приключенец 3
ZBFM0: Мужчина, Варвар
ZBTM0: Мужчина, Бард
ZDMX0: Мужчина, Темный эльф
DMCX: Мужчина, Воин
DMFX: Мужчина, Гном
HMFX: Мужчина, Рычащий
HEMFX: Мужчина, Благородный
EMFX: Мужчина, Вор
ZHOM0: Мужчина, Полу-орк
ZHMM0: Мужчина, Монах
EMTX: Мужчина, Мошенник
HEMTX: Мужчина, Мошенник 2
ZHMS0: Мужчина, Колдун
EMMX: Мужчина, Волшебник
GMMX: Мужчина, Волшебник 2
GMTX: Мужчина, Волшебник 3
HMCX: Мужчина, Волшебник 4
HAMFX: Мужчина, Волшебник 5
