#AR4100Info1371_1596
This appears to be a Neverwinter soldier, literally frozen to death in his tracks.

#AR4100Info1425_1698
This appears to be a Neverwinter soldier, literally frozen to death in his tracks.

#AR4100Info1498_1748
This appears to be a Neverwinter soldier, literally frozen to death in his tracks.

#AR4100Info1584_1700
This appears to be the leader of this group of Neverwinter soldiers, literally frozen to death in his tracks like his companions.  Clutched in his hand is what faintly looks to be a medallion.

#AR4100Info566_1106
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info608_1109
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info662_1673
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info702_1669
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1178_1976
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1216_1974
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1837_699
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1872_689
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1793_1911
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1831_1909
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1796_2322
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info1831_2313
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info2629_2068
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info2671_2069
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info2826_2262
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

#AR4100Info2859_2258
This is a small shrine to Auril, the Frostmaiden, the fickle, vain, and evil Goddess of Cold.  Disturbing the shrine - or the offerings to her it contains - may very well rouse her anger.

